sep=;
#; CourseCode; CourseTitle; section; time; date; instructor; credit
133; BUSI 459; Professional Practice in HR; A; 3:00 PM - 5:45 PM; ; Andrea Soberg; 3.00
134; BUSI 481; Business Ethics; A; 6:00 PM - 8:45 PM; ; Tba; 3.00
135; BUSI 484; Strategic Management; A; 3:00 PM - 5:45 PM; ; Brent Groen; 3.00
136; BUSI 484; Strategic Management; B; 6:15 PM - 9:00 PM; ; Brent Groen; 3.00
137; BUSI 492; Integrative Group Project: Finance; A; 3:00 PM - 5:45 PM; ; Liping Zhang; 3.00
138; BUSI 493; Integrated Group Project: HRM; A; 12:00 PM - 2:45 PM; ; Jani McKay; 3.00
139; PREP 100; Career Preparation; A; 9:30 AM - 10:45 AM; ; Amy Alexander; 1.00
140; CCCU 000; American Studies Program; A; 12:00 AM - 12:01 AM; ; Tba; 9.00
141; CCCU 002; China Studies Program; A; 12:00 AM - 12:01 AM; ; Tba; 9.00
142; CCCU 003; Contemporary Music Center; A; 12:00 AM - 12:01 AM; ; Tba; 9.00
143; CCCU 005; Los Angeles Film Studies Program; A; 12:00 AM - 12:01 AM; ; Tba; 9.00
144; CCCU 006; Middle East Studies Program; A; 12:00 AM - 12:01 AM; ; Tba; 9.00
145; CCCU 007; Oxford Summer Programme; A; 12:00 AM - 12:01 AM; ; Tba; 9.00
146; CCCU 008; Russian Studies Program; A; 12:00 AM - 12:01 AM; ; Tba; 9.00
147; CCCU 009; Scholar's Semester in Oxford Prog.; A; 12:00 AM - 12:01 AM; ; Tba; 9.00
148; CCCU 010; Summer Institute of Journalism; A; 12:00 AM - 12:01 AM; ; Tba; 9.00
149; CCCU 011; Uganda Studies Program; A; 12:00 AM - 12:01 AM; ; Tba; 9.00
150; CHEM 101; Elementary Elements; A; 9:30 AM - 10:45 AM; ; Shane Durbach; 3.00
151; CHEM 104; General Chemistry II; A; 3:00 PM - 4:15 PM; WF; Miriam Buschhaus; 3.00
152; CHEM 112; Principles of Chemistry II; A; 8:00 AM - 9:15 AM; WF; Shane Durbach; 3.00
153; CHEM 199; Lab for CHEM 104 and 112; Lab A; 8:00 AM - 10:45 AM; ; Rose Hirowatari; 1.00
154; CHEM 199; Lab for CHEM 104 and 112; Lab A; 8:00 AM - 10:45 AM; ; Rose Hirowatari; 1.00
155; CHEM 199; Lab for CHEM 104 and 112; Lab A; 6:15 PM - 9:00 PM; ; Rose Hirowatari; 1.00
156; CHEM 199; Lab for CHEM 104 and 112; Lab A; 6:15 PM - 9:00 PM; ; Rose Hirowatari; 1.00
157; CHEM 199; Lab for CHEM 104 and 112; Lab A; 8:00 AM - 10:45 AM; ; Rose Hirowatari; 1.00
158; CHEM 222; Organic Chemistry II; A; 8:00 AM - 9:15 AM; WF; Chad Friesen; 3.00
159; CHEM 222; Lab for CHEM 222; Lab A; 1:30 PM - 5:30 PM; ; Rose Hirowatari; .00
160; CHEM 222; Lab for CHEM 222; Lab A; 1:30 PM - 5:30 PM; ; Rose Hirowatari; .00
161; CHEM 222; Lab for CHEM 222; Lab A; 12:00 PM - 4:00 PM; ; Rose Hirowatari; .00
162; CHEM 230; Inorganic Chemistry; A; 9:30 AM - 10:45 AM; ; Miriam Buschhaus; 3.00
163; CHEM 341; Advanced Physical Chemistry I; A; 12:00 PM - 1:15 PM; W; Arnold Sikkema; 3.00
164; CHEM 341; Lab for CHEM 341; Lab A; 1:30 PM - 5:30 PM; ; Miriam Buschhaus; .00
165; CHEM 358; Modern Analytical Methods II; A; 8:00 AM - 9:15 AM; R; Chad Friesen; 3.00
166; CHEM 358; Lab for CHEM 358; Lab A; 1:30 PM - 5:45 PM; ; Rose Hirowatari; .00
167; CHEM 370; Environmental Chemistry; A; 3:00 PM - 4:30 PM; W; Tba; 3.00
168; CHEM 386; Biosynthesis; A; 8:00 AM - 9:15 AM; W; Tba; 3.00
169; CHEM 410; Senior Thesis; A; 12:00 AM - 12:01 AM; ; Miriam Buschhaus; 2.00
170; CHEM 461; Chemical Concepts in Nanotechnology; A; 9:30 AM - 10:45 AM; ; Shane Durbach; 3.00
171; CHIN 101; Intro to Chinese Lang & Culture I; A; 12:00 PM - 1:15 PM; R; Na Wu; 3.00
172; CHIN 102; Intro to Chinese Lang & Culture II; A; 6:15 PM - 9:00 PM; ; Na Wu; 3.00
173; CHIN 212; Decoding Chinese Mythologies II; A; 1:30 PM - 4:15 PM; ; Lilan Leung; 3.00
174; CHIN 312; The Analects of Confucius II; B; 4:30 PM - 7:30 PM; ; Na Wu; 3.00
175; CHIN 411; Modern Chinese Texts I; I2; 9:00 AM - 12:00 PM; ; Shiju Liu; 3.00
176; CHIN 411; Modern Chinese Texts I; I3; 9:00 AM - 12:00 PM; ; Shiju Liu; 3.00
177; CHIN 411; Modern Chinese Texts I; IR; 9:00 AM - 12:00 PM; ; Shiju Liu; 3.00
178; CHIN 412; Modern Chinese Texts II; B; 4:30 PM - 7:30 PM; ; Na Wu; 3.00
179; CMPT 140; Intro Computing Science & Program I; A; 9:30 AM - 10:45 AM; ; Herbert Tsang; 3.00
180; CMPT 166; Intr Computing Science & Program II; A; 9:30 AM - 10:45 AM; ; Andrew Park; 3.00
181; CMPT 211; Web Programming I; A; 6:15 PM - 9:00 PM; ; Ryan Mcbride; 3.00
182; CMPT 360; Comparative Programming Languages; A; 9:30 AM - 10:20 AM; ; Rick Sutcliffe; 3.00
183; CMPT 380; Artificial Intelligence; A; 3:00 PM - 4:15 PM; R; Andrew Park; 3.00
184; CMPT 410; Senior Thesis; A; 12:00 AM - 12:01 AM; ; Herbert Tsang; 2.00
185; CMPT 411; Senior Thesis; A; 12:00 AM - 12:01 AM; ; Herbert Tsang; 3.00
186; CMPT 470; Introduction to Bioinformatics; A; 12:00 PM - 2:45 PM; ; Herbert Tsang; 3.00
187; COOP 110; Work Term 1; A; 12:00 AM - 12:01 AM; ; Tba; .00
188; COOP 210; Work Term 2; A; 12:00 AM - 12:01 AM; ; Tba; .00
189; COOP 310; Work Term 3; A; 12:00 AM - 12:01 AM; ; Tba; .00
190; COOP 410; Work Term 4; A; 12:00 AM - 12:01 AM; ; Tba; .00
191; COOP 420; Work Term 5; A; 12:00 AM - 12:01 AM; ; Tba; .00
192; ECON 176; Business Research & Decision Making; A; 8:00 AM - 10:45 AM; ; Bosu Seo; 3.00
193; ECON 176; Business Research & Decision Making; B; 12:00 PM - 2:45 PM; ; Bosu Seo; 3.00
194; ECON 201; Principles of Microeconomics; A; 9:30 AM - 10:45 AM; ; Liping Zhang; 3.00
195; ECON 202; Principles of Macro Economics; A; 9:30 AM - 10:45 AM; ; Tracy Stobbe; 3.00
196; ECON 202; Principles of Macro Economics; B; 12:00 PM - 1:15 PM; R; Tracy Stobbe; 3.00
197; ECON 275; Business Statistics; B; 9:30 AM - 10:45 AM; ; Tracy Stobbe; 3.00
198; ECON 301; Managerial Economics; A; 12:00 PM - 1:15 PM; W; Tracy Stobbe; 3.00
199; ECON 301; Managerial Economics; B; 1:30 PM - 2:45 PM; W; Tracy Stobbe; 3.00
200; ECON 306; History of Economic Thought; A; 8:00 AM - 10:45 AM; ; Tracy Stobbe; 3.00
201; ECON 311; Global Issues in Business; A; 9:30 AM - 10:45 AM; ; Brian Albright; 3.00
202; ECON 311; Global Issues in Business; B; 12:00 PM - 1:15 PM; R; Brian Albright; 3.00
203; ECON 317; Investment Theory; A; 12:00 PM - 2:45 PM; ; Liping Zhang; 3.00
204; ECON 412; Intl Economic Competitiveness; A; 3:00 PM - 4:15 PM; ; Sung Min Yoo; 3.00
205; EDUC 211; Psych Foundn of Teaching/Learning; A; 4:30 PM - 7:30 PM; ; Andrew Shutsa; 3.00
