sep=;
#; CourseCode; CourseTitle; section; time; date; instructor; credit
796; MUSA 170; Private Guitar Lesson; A1; 12:00 AM - 12:00 AM; ; Tim Olsen; 1.00
797; MUSA 170; Private Guitar Lesson; B1; 12:00 AM - 12:00 AM; ; Tim Olsen; 2.00
798; MUSA 171; Private Guitar Lesson; A1; 12:00 AM - 12:00 AM; ; Tim Olsen; 1.00
799; MUSA 171; Private Guitar Lesson; B1; 12:00 AM - 12:00 AM; ; Tim Olsen; 2.00
800; MUSA 210; Private Voice Lesson; A1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 1.00
801; MUSA 210; Private Voice Lesson; A2; 12:00 AM - 12:00 AM; ; Jonny Michel; 1.00
802; MUSA 210; Private Voice Lesson; A3; 12:00 AM - 12:00 AM; ; Christy Derksen; 1.00
803; MUSA 210; Private Voice Lesson; B1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 2.00
804; MUSA 210; Private Voice Lesson; B2; 12:00 AM - 12:00 AM; ; Jonny Michel; 2.00
805; MUSA 210; Private Voice Lesson; B3; 12:00 AM - 12:00 AM; ; Christy Derksen; 2.00
806; MUSA 211; Private Voice Lesson; A1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 1.00
807; MUSA 211; Private Voice Lesson; A2; 12:00 AM - 12:00 AM; ; Jonny Michel; 1.00
808; MUSA 211; Private Voice Lesson; A3; 12:00 AM - 12:00 AM; ; Christy Derksen; 1.00
809; MUSA 211; Private Voice Lesson; B1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 2.00
810; MUSA 211; Private Voice Lesson; B2; 12:00 AM - 12:00 AM; ; Jonny Michel; 2.00
811; MUSA 211; Private Voice Lesson; B3; 12:00 AM - 12:00 AM; ; Christy Derksen; 2.00
812; MUSA 220; Private Keyboard Lesson; A1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 1.00
813; MUSA 220; Private Keyboard Lesson; A2; 12:00 AM - 12:00 AM; ; Betty Suderman; 1.00
814; MUSA 220; Private Keyboard Lesson; A3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 1.00
815; MUSA 220; Private Keyboard Lesson; B1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 2.00
816; MUSA 220; Private Keyboard Lesson; B2; 12:00 AM - 12:00 AM; ; Betty Suderman; 2.00
817; MUSA 220; Private Keyboard Lesson; B3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 2.00
818; MUSA 221; Private Keyboard Lesson; A1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 1.00
819; MUSA 221; Private Keyboard Lesson; A2; 12:00 AM - 12:00 AM; ; Betty Suderman; 1.00
820; MUSA 221; Private Keyboard Lesson; A3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 1.00
821; MUSA 221; Private Keyboard Lesson; B1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 2.00
822; MUSA 221; Private Keyboard Lesson; B2; 12:00 AM - 12:00 AM; ; Betty Suderman; 2.00
823; MUSA 221; Private Keyboard Lesson; B3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 2.00
824; MUSA 230; Private Flute Lesson; A1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 1.00
825; MUSA 230; Private Flute Lesson; B1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 2.00
826; MUSA 231; Private Flute Lesson; A1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 1.00
827; MUSA 231; Private Flute Lesson; B1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 2.00
828; MUSA 234; Private Clarinet Lesson; A1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 1.00
829; MUSA 234; Private Clarinet Lesson; B1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 2.00
830; MUSA 235; Private Clarinet Lesson; A1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 1.00
831; MUSA 235; Private Clarinet Lesson; B1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 2.00
832; MUSA 236; Private Bassoon Lesson; A1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
833; MUSA 236; Private Bassoon Lesson; B1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 2.00
834; MUSA 237; Private Bassoon Lesson; A1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
835; MUSA 237; Private Bassoon Lesson; B1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 2.00
836; MUSA 238; Private Saxophone Lesson; A1; 12:00 AM - 12:00 AM; ; Tony Gallo; 1.00
837; MUSA 238; Private Saxophone Lesson; B1; 12:00 AM - 12:00 AM; ; Tony Gallo; 2.00
838; MUSA 239; Private Saxophone Lesson; A1; 12:00 AM - 12:00 AM; ; Tony Gallo; 1.00
839; MUSA 239; Private Saxophone Lesson; B1; 12:00 AM - 12:00 AM; ; Tony Gallo; 2.00
840; MUSA 240; Private Trumpet Lesson; A1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 1.00
841; MUSA 240; Private Trumpet Lesson; B1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 2.00
842; MUSA 241; Private Trumpet Lesson; A1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 1.00
843; MUSA 241; Private Trumpet Lesson; B1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 2.00
844; MUSA 244; Private Trombone/Euphonium Lesson; A1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 1.00
845; MUSA 244; Private Trombone/Euphonium Lesson; B1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 2.00
846; MUSA 245; Private Trombone/Euphonium Lesson; A1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 1.00
847; MUSA 245; Private Trombone/Euphonium Lesson; B1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 2.00
848; MUSA 250; Private Percussion Lesson; A1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 1.00
849; MUSA 250; Private Percussion Lesson; B1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 2.00
850; MUSA 251; Private Percussion Lesson; A1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 1.00
851; MUSA 251; Private Percussion Lesson; B1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 2.00
852; MUSA 260; Private Violin Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
853; MUSA 260; Private Violin Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
854; MUSA 261; Private Violin Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
855; MUSA 261; Private Violin Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
856; MUSA 262; Private Viola Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
857; MUSA 262; Private Viola Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
858; MUSA 263; Private Viola Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
859; MUSA 263; Private Viola Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
860; MUSA 264; Private Cello Lesson; A1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 1.00
861; MUSA 264; Private Cello Lesson; B1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 2.00
862; MUSA 265; Private Cello Lesson; A1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 1.00
863; MUSA 265; Private Cello Lesson; B1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 2.00
864; MUSA 266; Private Bass Lesson; A1; 12:00 AM - 12:00 AM; ; Leanna Wong; 1.00
865; MUSA 266; Private Bass Lesson; B1; 12:00 AM - 12:00 AM; ; Leanna Wong; 2.00
866; MUSA 267; Private Bass Lesson; A1; 12:00 AM - 12:00 AM; ; Leanna Wong; 1.00
867; MUSA 267; Private Bass Lesson; B1; 12:00 AM - 12:00 AM; ; Leanna Wong; 2.00
868; MUSA 270; Private Guitar Lesson; A1; 12:00 AM - 12:00 AM; ; Tim Olsen; 1.00
869; MUSA 270; Private Guitar Lesson; B1; 12:00 AM - 12:00 AM; ; Tim Olsen; 2.00
870; MUSA 271; Private Guitar Lesson; A1; 12:00 AM - 12:00 AM; ; Tim Olsen; 1.00
871; MUSA 271; Private Guitar Lesson; B1; 12:00 AM - 12:00 AM; ; Tim Olsen; 2.00
872; MUSA 310; Private Voice Lesson; A1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 1.00
873; MUSA 310; Private Voice Lesson; A2; 12:00 AM - 12:00 AM; ; Jonny Michel; 1.00
874; MUSA 310; Private Voice Lesson; A3; 12:00 AM - 12:00 AM; ; Christy Derksen; 1.00
875; MUSA 310; Private Voice Lesson; B1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 2.00
876; MUSA 310; Private Voice Lesson; B2; 12:00 AM - 12:00 AM; ; Jonny Michel; 2.00
877; MUSA 310; Private Voice Lesson; B3; 12:00 AM - 12:00 AM; ; Christy Derksen; 2.00
878; MUSA 311; Private Voice Lesson; A1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 1.00
879; MUSA 311; Private Voice Lesson; A2; 12:00 AM - 12:00 AM; ; Jonny Michel; 1.00
880; MUSA 311; Private Voice Lesson; A3; 12:00 AM - 12:00 AM; ; Christy Derksen; 1.00
881; MUSA 311; Private Voice Lesson; B1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 2.00
882; MUSA 311; Private Voice Lesson; B2; 12:00 AM - 12:00 AM; ; Jonny Michel; 2.00
883; MUSA 311; Private Voice Lesson; B3; 12:00 AM - 12:00 AM; ; Christy Derksen; 2.00
884; MUSA 320; Private Keyboard Lesson; A1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 1.00
885; MUSA 320; Private Keyboard Lesson; A2; 12:00 AM - 12:00 AM; ; Betty Suderman; 1.00
886; MUSA 320; Private Keyboard Lesson; A3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 1.00
887; MUSA 320; Private Keyboard Lesson; B1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 2.00
888; MUSA 320; Private Keyboard Lesson; B2; 12:00 AM - 12:00 AM; ; Betty Suderman; 2.00
889; MUSA 320; Private Keyboard Lesson; B3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 2.00
890; MUSA 321; Private Keyboard Lesson; A1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 1.00
891; MUSA 321; Private Keyboard Lesson; A2; 12:00 AM - 12:00 AM; ; Betty Suderman; 1.00
892; MUSA 321; Private Keyboard Lesson; A3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 1.00
893; MUSA 321; Private Keyboard Lesson; B1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 2.00
894; MUSA 321; Private Keyboard Lesson; B2; 12:00 AM - 12:00 AM; ; Betty Suderman; 2.00
895; MUSA 321; Private Keyboard Lesson; B3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 2.00
896; MUSA 330; Private Flute Lesson; A1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 1.00
897; MUSA 330; Private Flute Lesson; B1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 2.00
898; MUSA 331; Private Flute Lesson; A1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 1.00
899; MUSA 331; Private Flute Lesson; B1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 2.00
900; MUSA 334; Private Clarinet Lesson; A1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 1.00
901; MUSA 334; Private Clarinet Lesson; B1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 2.00
902; MUSA 335; Private Clarinet Lesson; A1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 1.00
903; MUSA 335; Private Clarinet Lesson; B1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 2.00
904; MUSA 336; Private Bassoon Lesson; A1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
905; MUSA 336; Private Bassoon Lesson; B1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 2.00
906; MUSA 337; Private Bassoon Lesson; A1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
907; MUSA 337; Private Bassoon Lesson; B1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 2.00
908; MUSA 338; Private Saxophone Lesson; A1; 12:00 AM - 12:00 AM; ; Tony Gallo; 1.00
909; MUSA 338; Private Saxophone Lesson; B1; 12:00 AM - 12:00 AM; ; Tony Gallo; 2.00
910; MUSA 339; Private Saxophone Lesson; A1; 12:00 AM - 12:00 AM; ; Tony Gallo; 1.00
911; MUSA 339; Private Saxophone Lesson; B1; 12:00 AM - 12:00 AM; ; Tony Gallo; 2.00
912; MUSA 340; Private Trumpet Lesson; A1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 1.00
913; MUSA 340; Private Trumpet Lesson; B1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 2.00
914; MUSA 341; Private Trumpet Lesson; A1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 1.00
915; MUSA 341; Private Trumpet Lesson; B1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 2.00
916; MUSA 344; Private Trombone/Euphonium Lesson; A1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 1.00
917; MUSA 344; Private Trombone/Euphonium Lesson; B1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 2.00
918; MUSA 345; Private Trombone/Euphonium Lesson; A1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 1.00
919; MUSA 345; Private Trombone/Euphonium Lesson; B1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 2.00
920; MUSA 350; Private Percussion Lesson; A1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 1.00
921; MUSA 350; Private Percussion Lesson; B1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 2.00
922; MUSA 351; Private Percussion Lesson; A1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 1.00
923; MUSA 351; Private Percussion Lesson; B1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 2.00
924; MUSA 360; Private Violin Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
925; MUSA 360; Private Violin Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
926; MUSA 361; Private Violin Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
927; MUSA 361; Private Violin Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
928; MUSA 362; Private Viola Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
929; MUSA 362; Private Viola Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
930; MUSA 363; Private Viola Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
931; MUSA 363; Private Viola Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
932; MUSA 364; Private Cello Lesson; A1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 1.00
933; MUSA 364; Private Cello Lesson; B1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 2.00
934; MUSA 365; Private Cello Lesson; A1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 1.00
935; MUSA 365; Private Cello Lesson; B1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 2.00
936; MUSA 366; Private Bass Lesson; A1; 12:00 AM - 12:00 AM; ; Leanna Wong; 1.00
937; MUSA 366; Private Bass Lesson; B1; 12:00 AM - 12:00 AM; ; Leanna Wong; 2.00
938; MUSA 367; Private Bass Lesson; A1; 12:00 AM - 12:00 AM; ; Leanna Wong; 1.00
939; MUSA 367; Private Bass Lesson; B1; 12:00 AM - 12:00 AM; ; Leanna Wong; 2.00
940; MUSA 370; Private Guitar Lesson; A1; 12:00 AM - 12:00 AM; ; Tim Olsen; 1.00
941; MUSA 370; Private Guitar Lesson; B1; 12:00 AM - 12:00 AM; ; Tim Olsen; 2.00
942; MUSA 371; Private Guitar Lesson; A1; 12:00 AM - 12:00 AM; ; Tim Olsen; 1.00
943; MUSA 371; Private Guitar Lesson; B1; 12:00 AM - 12:00 AM; ; Tim Olsen; 2.00
944; MUSA 410; Private Voice Lesson; A1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 1.00
945; MUSA 410; Private Voice Lesson; A2; 12:00 AM - 12:00 AM; ; Jonny Michel; 1.00
946; MUSA 410; Private Voice Lesson; A3; 12:00 AM - 12:00 AM; ; Christy Derksen; 1.00
947; MUSA 410; Private Voice Lesson; B1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 2.00
948; MUSA 410; Private Voice Lesson; B2; 12:00 AM - 12:00 AM; ; Jonny Michel; 2.00
949; MUSA 410; Private Voice Lesson; B3; 12:00 AM - 12:00 AM; ; Christy Derksen; 2.00
950; MUSA 411; Private Voice Lesson; A1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 1.00
951; MUSA 411; Private Voice Lesson; A2; 12:00 AM - 12:00 AM; ; Jonny Michel; 1.00
952; MUSA 411; Private Voice Lesson; A3; 12:00 AM - 12:00 AM; ; Christy Derksen; 1.00
953; MUSA 411; Private Voice Lesson; B1; 12:00 AM - 12:00 AM; ; Alison Nystrom; 2.00
954; MUSA 411; Private Voice Lesson; B2; 12:00 AM - 12:00 AM; ; Jonny Michel; 2.00
955; MUSA 411; Private Voice Lesson; B3; 12:00 AM - 12:00 AM; ; Christy Derksen; 2.00
956; MUSA 420; Private Keyboard Lesson; A1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 1.00
957; MUSA 420; Private Keyboard Lesson; A2; 12:00 AM - 12:00 AM; ; Betty Suderman; 1.00
958; MUSA 420; Private Keyboard Lesson; A3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 1.00
959; MUSA 420; Private Keyboard Lesson; B1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 2.00
960; MUSA 420; Private Keyboard Lesson; B2; 12:00 AM - 12:00 AM; ; Betty Suderman; 2.00
961; MUSA 420; Private Keyboard Lesson; B3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 2.00
962; MUSA 421; Private Keyboard Lesson; A1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 1.00
963; MUSA 421; Private Keyboard Lesson; A2; 12:00 AM - 12:00 AM; ; Betty Suderman; 1.00
964; MUSA 421; Private Keyboard Lesson; A3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 1.00
965; MUSA 421; Private Keyboard Lesson; B1; 12:00 AM - 12:00 AM; ; Suzanne Klukas; 2.00
966; MUSA 421; Private Keyboard Lesson; B2; 12:00 AM - 12:00 AM; ; Betty Suderman; 2.00
967; MUSA 421; Private Keyboard Lesson; B3; 12:00 AM - 12:00 AM; ; Ron Koyanagi; 2.00
968; MUSA 430; Private Flute Lesson; A1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 1.00
969; MUSA 430; Private Flute Lesson; B1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 2.00
970; MUSA 431; Private Flute Lesson; A1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 1.00
971; MUSA 431; Private Flute Lesson; B1; 12:00 AM - 12:00 AM; ; Paolo Bortolussi; 2.00
972; MUSA 434; Private Clarinet Lesson; A1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 1.00
973; MUSA 434; Private Clarinet Lesson; B1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 2.00
974; MUSA 435; Private Clarinet Lesson; A1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 1.00
975; MUSA 435; Private Clarinet Lesson; B1; 12:00 AM - 12:00 AM; ; Robert Sheffield; 2.00
976; MUSA 436; Private Bassoon Lesson; A1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
977; MUSA 436; Private Bassoon Lesson; B1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 2.00
978; MUSA 437; Private Bassoon Lesson; A1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 1.00
979; MUSA 437; Private Bassoon Lesson; B1; 12:00 AM - 12:00 AM; ; Allan Thorpe; 2.00
980; MUSA 438; Private Saxophone Lesson; A1; 12:00 AM - 12:00 AM; ; Tony Gallo; 1.00
981; MUSA 438; Private Saxophone Lesson; B1; 12:00 AM - 12:00 AM; ; Tony Gallo; 2.00
982; MUSA 439; Private Saxophone Lesson; A1; 12:00 AM - 12:00 AM; ; Tony Gallo; 1.00
983; MUSA 439; Private Saxophone Lesson; B1; 12:00 AM - 12:00 AM; ; Tony Gallo; 2.00
984; MUSA 440; Private Trumpet Lesson; A1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 1.00
985; MUSA 440; Private Trumpet Lesson; B1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 2.00
986; MUSA 441; Private Trumpet Lesson; A1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 1.00
987; MUSA 441; Private Trumpet Lesson; B1; 12:00 AM - 12:00 AM; ; Mark D'Angelo; 2.00
988; MUSA 444; Private Trombone/Euphonium Lesson; A1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 1.00
989; MUSA 444; Private Trombone/Euphonium Lesson; B1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 2.00
990; MUSA 445; Private Trombone/Euphonium Lesson; A1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 1.00
991; MUSA 445; Private Trombone/Euphonium Lesson; B1; 12:00 AM - 12:00 AM; ; Greg Farrugia; 2.00
992; MUSA 450; Private Percussion Lesson; A1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 1.00
993; MUSA 450; Private Percussion Lesson; B1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 2.00
994; MUSA 451; Private Percussion Lesson; A1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 1.00
995; MUSA 451; Private Percussion Lesson; B1; 12:00 AM - 12:00 AM; ; Nicholas Apivor; 2.00
996; MUSA 460; Private Violin Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
997; MUSA 460; Private Violin Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
998; MUSA 461; Private Violin Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
999; MUSA 461; Private Violin Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
1000; MUSA 462; Private Viola Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
1001; MUSA 462; Private Viola Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
1002; MUSA 463; Private Viola Lesson; A1; 12:00 AM - 12:00 AM; ; Heilwig Von; 1.00
1003; MUSA 463; Private Viola Lesson; B1; 12:00 AM - 12:00 AM; ; Heilwig Von; 2.00
1004; MUSA 464; Private Cello Lesson; A1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 1.00
1005; MUSA 464; Private Cello Lesson; B1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 2.00
1006; MUSA 465; Private Cello Lesson; A1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 1.00
1007; MUSA 465; Private Cello Lesson; B1; 12:00 AM - 12:00 AM; ; Joel Stobbe; 2.00
1008; MUSA 466; Private Bass Lesson; A1; 12:00 AM - 12:00 AM; ; Leanna Wong; 1.00
1009; MUSA 466; Private Bass Lesson; B1; 12:00 AM - 12:00 AM; ; Leanna Wong; 2.00
1010; MUSA 467; Private Bass Lesson; A1; 12:00 AM - 12:00 AM; ; Leanna Wong; 1.00
1011; MUSA 467; Private Bass Lesson; B1; 12:00 AM - 12:00 AM; ; Leanna Wong; 2.00
1012; MUSA 470; Private Guitar Lesson; A1; 12:00 AM - 12:00 AM; ; Tim Olsen; 1.00
1013; MUSA 470; Private Guitar Lesson; B1; 12:00 AM - 12:00 AM; ; Tim Olsen; 2.00
1014; MUSA 471; Private Guitar Lesson; A1; 12:00 AM - 12:00 AM; ; Tim Olsen; 1.00
1015; MUSA 471; Private Guitar Lesson; B1; 12:00 AM - 12:00 AM; ; Tim Olsen; 2.00
1016; NURS 123; Clinical Skills II; A; -; ; Cathy Son; 2.00
1017; NURS 123; Lab for NURS 123; Lab A; 12:00 PM - 2:45 PM; ; Janice Kamke; .00
1018; NURS 123; Lab for NURS 123; Lab A; 12:00 PM - 2:45 PM; ; Rachel Froese; .00
1019; NURS 123; Lab for NURS 123; Lab A; 3:00 PM - 5:45 PM; ; Janice Kamke; .00
1020; NURS 123; Lab for NURS 123; Lab A; 3:00 PM - 5:45 PM; ; Rachel Froese; .00
1021; NURS 123; Lab for NURS 123; Lab A; 12:00 PM - 2:45 PM; ; Janice Kamke; .00
1022; NURS 123; Lab for NURS 123; Lab A; 12:00 PM - 2:45 PM; ; Rachel Froese; .00
1023; NURS 124; Communication and Covenantal Caring; A; 3:00 PM - 4:45 PM; ; Lynn Musto; 2.00
1024; NURS 124; Communication and Covenantal Caring; B; 3:00 PM - 4:45 PM; ; Darlaine Jantzen; 2.00
1025; NURS 127; Health Promotion & Primary Health; A; 3:00 PM - 4:45 PM; ; Kelly Schutt; 3.00
1026; NURS 127; Health Promotion & Primary Health; B; 3:00 PM - 4:45 PM; ; Kelly Schutt; 3.00
1027; NURS 127; Clinical for NURS 127; Clin. A; 7:00 AM - 1:00 PM; ; Landa Terblanche; .00
1028; NURS 127; Clinical for NURS 127; Clin. A; 7:00 AM - 1:00 PM; ; Landa Terblanche; .00
1029; NURS 200; Nursing Therapeutics I; A; 12:00 PM - 1:15 PM; R; Tracy Stephen; 3.00
1030; NURS 200; Nursing Therapeutics I; B; 3:00 PM - 4:15 PM; R; Tracy Stephen; 3.00
1031; NURS 227; Glbl Health,Humanitarianism&Mission; A; 3:00 PM - 5:45 PM; ; Barb Astle; 3.00
1032; NURS 227; Glbl Health,Humanitarianism&Mission; B; 3:00 PM - 5:45 PM; ; Tammy Brandsma; 3.00
1033; NURS 232; Nursing Care of Adults; A; 8:00 AM - 9:15 AM; R; Tammy Brandsma; 3.00
1034; NURS 232; Nursing Care of Adults; B; 9:30 AM - 10:45 AM; ; Tammy Brandsma; 3.00
1035; NURS 233; Clinical Practice: Adult Health II; A; -; ; Tammy Brandsma; 4.00
1036; NURS 233; Lab for NURS 233; Lab A; 8:00 AM - 9:15 AM; ; Cathy Son; .00
1037; NURS 233; Lab for NURS 233; Lab A; 9:30 AM - 10:45 AM; ; Cathy Son; .00
1038; NURS 233; Lab for NURS 233; Lab A; 12:00 PM - 1:15 PM; ; Cathy Son; .00
1039; NURS 233; Lab for NURS 233; Lab A; 8:00 AM - 9:15 AM; ; Cathy Son; .00
1040; NURS 233; Lab for NURS 233; Lab A; 9:30 AM - 10:45 AM; ; Cathy Son; .00
1041; NURS 322; Nurs. Care of Childbearing Families; A; 8:00 AM - 10:45 AM; ; Karen Larochelle; 3.00
1042; NURS 322; Nurs. Care of Childbearing Families; B; 8:00 AM - 10:45 AM; ; Karen Larochelle; 3.00
1043; NURS 323; Clinical Practice: Family Health; A; -; RF; Karen Larochelle; 3.00
1044; NURS 323; Clinical Practice: Family Health; B; -; RF; Karen Larochelle; 3.00
1045; NURS 323; Lab for NURS 323; Lab A; 3:00 PM - 5:00 PM; ; Karen Larochelle; .00
1046; NURS 323; Lab for NURS 323; Lab A; 3:00 PM - 5:00 PM; ; Caitlin Friesen; .00
1047; NURS 323; Lab for NURS 323; Lab B; 3:00 PM - 5:00 PM; ; Karen Larochelle; .00
1048; NURS 323; Lab for NURS 323; Lab B; 3:00 PM - 5:00 PM; ; Caitlin Friesen; .00
1049; NURS 342; Nursing Care of Children & Families; A; 12:00 PM - 2:45 PM; W; Heather Meyerhoff; 3.00
